Link,Title,Rating,Votes,Description,Director
https://www.imdb.com/title/tt5689056/?ref_=adv_li_tt,The Last Champion,7.1,332,"When his mother dies, scandal-ridden ex-Olympian John Wright returns to a hometown that has not forgiven him.",Glenn Withrow
https://www.imdb.com/title/tt9387250/?ref_=adv_li_tt,Skylines,4.7,"6,221","When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",Liam O'Donnell
https://www.imdb.com/title/tt9484998/?ref_=adv_li_tt,Palm Springs,7.4,"119,396","Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.",Max Barbakow
https://www.imdb.com/title/tt4682266/?ref_=adv_li_tt,The New Mutants,5.3,"61,345","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",Josh Boone
https://www.imdb.com/title/tt8829830/?ref_=adv_li_tt,Fatale,5.3,"7,010","After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",Deon Taylor
https://www.imdb.com/title/tt4566758/?ref_=adv_li_tt,Mulan,5.7,"125,406",A young Chinese maiden disguises herself as a male warrior in order to save her father.,Niki Caro
https://www.imdb.com/title/tt10059518/?ref_=adv_li_tt,Unhinged,6.0,"53,282","After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",Derrick Borte
https://www.imdb.com/title/tt8633478/?ref_=adv_li_tt,Run,6.7,"53,401",A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,Aneesh Chaganty
https://www.imdb.com/title/tt10362466/?ref_=adv_li_tt,After We Collided,5.2,"22,594","Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",Roger Kumble
https://www.imdb.com/title/tt7395114/?ref_=adv_li_tt,The Devil All the Time,7.1,"107,215",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,Antonio Campos
https://www.imdb.com/title/tt10633456/?ref_=adv_li_tt,Minari,7.5,"52,561",A Korean family starts a farm in 1980s Arkansas.,Lee Isaac Chung
https://www.imdb.com/title/tt6878306/?ref_=adv_li_tt,News of the World,6.8,"67,636","A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",Paul Greengrass
https://www.imdb.com/title/tt7556122/?ref_=adv_li_tt,The Old Guard,6.7,"139,785",A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,Gina Prince-Bythewood
https://www.imdb.com/title/tt6539992/?ref_=adv_li_tt,Embattled,6.5,"1,479","A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.",Nick Sarkisov
https://www.imdb.com/title/tt1838556/?ref_=adv_li_tt,Honest Thief,6.0,"38,935","Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",Mark Williams
