link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
https://akcern.am/en/property/10256,Code - 459309,For sale Apartment in Yerevan,"85,000 USD",'Total area 112 m 2','Floor 7','Count of rooms 4',28.01.2021
https://akcern.am/en/property/7497,Code - 40663,For sale Apartment in Yerevan,"104,000 USD",'Total area 99 m 2','Floor 4','Count of rooms 4',28.01.2021
https://akcern.am/en/property/5770,Code - 11231,For sale Apartment in Yerevan,"65,000 USD",'Total area 48 m 2','Floor 4','Count of rooms 1',27.01.2021
https://akcern.am/en/property/10236,Code - 259284,For sale Apartment in Yerevan,"73,000 USD",'Total area 68 m 2','Floor 11','Count of rooms 2',27.01.2021
https://akcern.am/en/property/10237,Code - 259285,For sale Apartment in Yerevan,"64,000 USD",'Total area 60 m 2','Floor 11','Count of rooms 2',27.01.2021
https://akcern.am/en/property/10240,Code - 259288,For sale Apartment in Yerevan,"65,000 USD",'Total area 61 m 2','Floor 11','Count of rooms 2',27.01.2021
https://akcern.am/en/property/10241,Code - 259289,For sale Apartment in Yerevan,"48,000 USD",'Total area 45 m 2','Floor 11','Count of rooms 2',27.01.2021
https://akcern.am/en/property/10251,Code - 359304,For sale Apartment in Yerevan,"62,000 USD",'Total area 78 m 2','Floor 5','Count of rooms 3',27.01.2021
https://akcern.am/en/property/13547,Code - 20588,For rent Apartment in Yerevan,500 USD,'Total area 54 m 2','Floor 2','Count of rooms 2',27.01.2021
https://akcern.am/en/property/9797,Code - 858848,For sale Apartment in Yerevan,"700,000 USD",'Total area 333 m 2','Floor 5','Count of rooms 6',27.01.2021
https://akcern.am/en/property/10245,Code - 259293,For sale Apartment in Yerevan,"65,000 USD",'Total area 61 m 2','Floor 11','Count of rooms 2',27.01.2021
https://akcern.am/en/property/10235,Code - 359283,For sale Apartment in Yerevan,"93,000 USD",'Total area 87 m 2','Floor 11','Count of rooms 3',27.01.2021
https://akcern.am/en/property/10238,Code - 159286,For sale Apartment in Yerevan,"48,500 USD",'Total area 45 m 2','Floor 11','Count of rooms 1',27.01.2021
https://akcern.am/en/property/10239,Code - 159287,For sale Apartment in Yerevan,"43,000 USD",'Total area 41 m 2','Floor 11','Count of rooms 1',27.01.2021
https://akcern.am/en/property/10242,Code - 159290,For sale Apartment in Yerevan,"49,000 USD",'Total area 46 m 2','Floor 11','Count of rooms 1',27.01.2021
https://akcern.am/en/property/10243,Code - 159291,For sale Apartment in Yerevan,"49,000 USD",'Total area 46 m 2','Floor 11','Count of rooms 1',27.01.2021
https://akcern.am/en/property/10244,Code - 159292,For sale Apartment in Yerevan,"45,000 USD",'Total area 42 m 2','Floor 11','Count of rooms 1',27.01.2021
https://akcern.am/en/property/7646,Code - 32622,For sale Apartment in Yerevan,"120,000 USD",'Total area 99 m 2','Floor 4','Count of rooms 3',27.01.2021
https://akcern.am/en/property/7154,Code - 32613,For sale Apartment in Yerevan,"115,000 USD",'Total area 73 m 2','Floor 2','Count of rooms 3',27.01.2021
https://akcern.am/en/property/5711,Code - 80381,For sale Apartment in Yerevan,"80,000 USD",'Total area 91 m 2','Floor 1','Count of rooms 3',27.01.2021
https://akcern.am/en/property/5433,Code - 32523,For sale Apartment in Yerevan,"80,000 USD",'Total area 77 m 2','Floor 5','Count of rooms 3',27.01.2021
